,title,year,budget_2013$,intgross_2013$
321,Charlie St. Cloud,2010,47002201,51785833.0
322,Clash of the Titans,2010,133528980,526867848.0
323,Conviction,2010,13352898,10824983.0
324,Cop Out,2010,39524578,59724746.0
325,Country Strong,2010,16023478,21953741.0
326,Cyrus,2010,7477623,10724926.0
327,Date Night,2010,58752751,162658630.0
328,Dear John,2010,26705796,118960872.0
329,Despicable Me,2010,73707997,580578700.0
330,Devil,2010,10682318,67676882.0
331,Diary of a Wimpy Kid,2010,16023478,82205045.0
332,Dinner for Schmucks,2010,73707997,92718787.0
333,Don&#39;t Be Afraid of the Dark,2010,26705796,33703834.0
334,Due Date,2010,69435070,226186388.0
335,Dylan Dog: Dead of Night,2010,21364637,6506276.0
336,Easy A,2010,8545855,81400037.0
337,"Eat, Pray, Love",2010,64093910,219892171.0
338,Edge of Darkness,2010,64093910,86749716.0
339,Everything Must Go,2010,5341159,2897185.0
340,Fair Game,2010,53411592,27878177.0
341,Faster,2010,12818782,38091703.0
342,For Colored Girls,2010,22432869,40611902.0
343,Frozen,2010,160234776,1073092418.0
344,Get Him To The Greek,2010,42729274,97696078.0
345,Going the Distance,2010,34183419,42718768.0
346,Green Zone,2010,106823184,104177195.0
347,Grown Ups,2010,80117388,290797736.0
348,Gunless,2010,10575495,489308.0
349,Harry Potter and the Deathly Hallows: Part 1,2010,133528980,1021656625.0
350,Hot Tub Time Machine,2010,38456346,67522890.0
351,How to Train Your Dragon,2010,176258254,528636950.0
352,I Am Love,2010,10682318,16164710.0
353,Inception,2010,170917095,889393184.0
354,Insidious,2010,1602348,106685260.0
355,Iron Man 2,2010,181599413,666108069.0
356,It&#39;s Kind of a Funny Story,2010,8545855,7080589.0
357,Kick-Ass,2010,29910492,104182018.0
358,Knight and Day,2010,124983125,280028482.0
359,Legion,2010,27774028,73552139.0
360,Let Me In,2010,21364637,30199340.0
361,Letters to Juliet,2010,32046955,84535576.0
362,Love and Other Drugs,2010,32046955,109728398.0
363,Machete,2010,13352898,47356808.0
364,Made In Dagenham,2010,8545855,16711628.0
365,Meek&#39;s Cutoff,2010,2136464,1997517.0
366,Megamind,2010,138870139,343850165.0
367,Monsters,2010,534116,6024539.0
