,year,budget_2013$
1122,2002,180029911
1123,2002,103614337
1124,2002,5828306
1125,2002,49216810
1126,2002,77710753
1127,2002,148945610
1128,2002,129517922
1129,2002,12951792
1130,2002,77710753
1131,2002,15542151
1132,2002,10361434
1133,2002,32379480
1134,2002,19427688
1135,2002,121746846
1136,2002,32379480
1137,2002,25903584
1138,2002,62168602
1139,2002,5180717
1140,2002,84186649
1141,2002,55692706
1142,2002,27198764
1143,2002,77710753
1144,2002,129517922
1145,2002,19427688
1146,2002,77710753
1147,2002,90662545
1148,2002,5569271
1149,2002,20722867
1150,2002,90662545
1151,2001,102635985
1152,2001,53949684
1153,2001,36843687
1154,2001,46054609
1155,2001,39475379
1156,2001,118426136
1157,2001,118426136
1158,2001,125005366
1159,2001,39475379
1160,2001,32896149
1161,2001,65792298
1162,2001,5921307
1163,2001,94740909
1164,2001,105267677
1165,2001,46054609
1166,2001,7237153
1167,2001,23685227
1168,2001,114478598
1169,2001,164480745
1170,2001,7895076
1171,2001,13158460
1172,2001,52633838
1173,2001,18421843
1174,2001,28948611
1175,2001,13158460
1176,2001,28948611
1177,2001,63160606
1178,2001,32896149
1179,2001,1973769
1180,2001,921092
1181,2001,123689520
1182,2001,23685227
1183,2001,328961
1184,2001,98688447
1185,2001,1579015
1186,2001,151322285
1187,2001,69739836
1188,2001,19737689
1189,2001,8552999
1190,2001,111846906
1191,2001,92109217
1192,2001,199350663
1193,2001,17105997
1194,2001,52633838
1195,2001,13158460
1196,2001,65792298
1197,2001,30264457
1198,2001,46054609
1199,2001,3947538
1200,2001,50002146
1201,2001,28948611
1202,2001,11842614
1203,2001,143427209
1204,2001,94740909
1205,2001,64476452
1206,2001,22369381
1207,2001,39475379
1208,2001,36843687
1209,2001,36843687
1210,2001,25001073
1211,2001,59213068
1212,2001,13158460
1213,2001,92109217
1214,2001,36843687
1215,2000,58175060
1216,2000,81174503
1217,2000,10823267
1218,2000,67645419
1219,2000,8117450
1220,2000,6764542
1221,2000,12176175
1222,2000,13529084
1223,2000,114997212
1224,2000,13529084
1225,2000,24352351
1226,2000,121761754
1227,2000,56822152
1228,2000,33822710
1229,2000,60880877
1230,2000,16911355
1231,2000,18940717
1232,2000,60880877
1233,2000,67645419
1234,2000,31116893
1235,2000,139349563
1236,2000,139755436
1237,2000,27058168
1238,2000,121761754
1239,2000,108232671
1240,2000,20293626
1241,2000,74409961
1242,2000,6764542
1243,2000,60880877
1244,2000,121761754
1245,2000,35175618
1246,2000,31116893
1247,2000,40587251
1248,2000,108232671
1249,2000,40587251
1250,2000,6088088
1251,2000,32469801
1252,2000,33822710
1253,2000,40587251
1254,2000,5411634
1255,2000,54116335
1256,2000,5817506
1257,2000,74409961
1258,2000,13529084
1259,2000,2435235
1260,2000,67645419
1261,2000,47351793
1262,2000,135290838
1263,2000,13529084
1264,2000,148819922
1265,2000,128526296
1266,2000,12176175
1267,2000,32469801
1268,2000,108232671
1269,2000,101468129
1270,2000,99091212
1271,2000,304404
1272,2000,101468129
1273,2000,121761754
1274,2000,87939045
1275,2000,20293626
1276,2000,20293626
1277,2000,101468129
1278,1999,18180006
1279,1999,55938481
1280,1999,20976930
1281,1999,16781544
1282,1999,41953861
1283,1999,104884652
1284,1999,32164627
1285,1999,48946171
1286,1999,18180006
1287,1999,13984620
1288,1999,50344633
1289,1999,2796924
1290,1999,1678154
1291,1999,29367703
1292,1999,15383082
1293,1999,18180006
1294,1999,13984620
1295,1999,13984620
1296,1999,11886927
1297,1999,90900032
1298,1999,90900032
1299,1999,37758475
1300,1999,69923101
1301,1999,62930791
1302,1999,33563089
1303,1999,9090003
1304,1999,4195386
1305,1999,51743095
1306,1999,33563089
1307,1999,95095418
1308,1999,58735405
1309,1999,13984620
1310,1999,69923101
1311,1999,41953861
1312,1999,16781544
1313,1999,97892342
1314,1999,29367703
1315,1999,160823133
1316,1999,146838513
1317,1999,202776994
1318,1999,174807753
1319,1999,839077
1320,1999,9789234
1321,1999,83907722
1322,1999,111876962
1323,1999,69923101
1324,1999,90900032
1325,1999,111876962
1326,1999,55938481
1327,1999,55938481
1328,1999,27969241
1329,1999,27969241
1330,1999,125861583
1331,1999,104884652
1332,1999,244730855
1333,1999,41953861
1334,1998,18578720
1335,1998,64310954
1336,1998,14291323
1337,1998,200078524
1338,1998,75744013
1339,1998,64310954
1340,1998,35728308
1341,1998,2143698
1342,1998,38586572
1343,1998,114330585
1344,1998,21436985
1345,1998,35728308
1346,1998,121476247
1347,1998,37157440
1348,1998,26438948
1349,1998,1857872
1350,1998,2858265
1351,1998,178641539
1352,1998,24295249
1353,1998,4287397
1354,1998,42873969
1355,1998,8574794
1356,1998,1929329
1357,1998,114330585
1358,1998,85747939
1359,1998,128621908
1360,1998,68598351
1361,1998,97181
1362,1998,85747939
1363,1998,92893600
1364,1998,57165293
1365,1998,17149588
1366,1998,2500982
1367,1998,50019631
1368,1998,14291323
1369,1998,1429132
1370,1998,92893600
1371,1998,37157440
1372,1998,114330585
1373,1998,8574794
1374,1998,7145662
1375,1998,57165293
1376,1998,2858265
1377,1998,104326659
1378,1998,100039262
1379,1998,71456616
1380,1998,85747939
1381,1998,21436985
1382,1998,21436985
1383,1998,50019631
1384,1998,92893600
1385,1998,71456616
1386,1998,85747939
1387,1998,28582646
1388,1998,74314880
1389,1998,85747939
1390,1998,31440911
1391,1998,20007852
1392,1998,28582646
1393,1998,12862191
1394,1998,28582646
1395,1998,92893600
1396,1997,40634668
1397,1997,4353714
1398,1997,123355241
1399,1997,87074287
1400,1997,76915621
1401,1997,72561906
1402,1997,26122286
1403,1997,181404766
1404,1997,21768572
1405,1997,46439620
1406,1997,362810
1407,1997,4208591
1408,1997,2902476
1409,1997,116099050
1410,1997,116099050
1411,1997,130611431
1412,1997,7256191
1413,1997,87074287
1414,1997,58049525
1415,1997,116099050
1416,1997,72561906
1417,1997,52244573
1418,1997,79818097
1419,1997,14512381
1420,1997,21768572
1421,1997,101586669
1422,1997,24671048
1423,1997,36281
1424,1997,17414858
1425,1997,39183429
1426,1997,50793334
1427,1997,65305716
1428,1997,130611431
1429,1997,29024763
1430,1997,43537144
1431,1997,50793334
1432,1997,66756954
1433,1997,1451238
1434,1997,34829715
1435,1997,29024763
1436,1997,50793334
1437,1997,58049525
1438,1997,145123812
1439,1997,82720573
1440,1997,137867622
1441,1997,72561906
1442,1997,108842859
1443,1997,72561906
1444,1997,116099050
1445,1997,290247625
1446,1997,130611431
1447,1996,5049561
1448,1996,6683242
1449,1996,96535720
1450,1996,81684071
1451,1996,84654401
1452,1996,8762473
1453,1996,74258246
1454,1996,29703299
1455,1996,10396154
1456,1996,4455495
1457,1996,29703299
1458,1996,2970330
1459,1996,19307144
1460,1996,111387369
1461,1996,89109896
1462,1996,37129123
1463,1996,371291
1464,1996,118813194
1465,1996,118813194
1466,1996,21534891
1467,1996,22277474
1468,1996,6683242
1469,1996,13366484
1470,1996,118813194
1471,1996,26732969
1472,1996,68317587
1473,1996,74258246
1474,1996,3712912
1475,1996,69802752
1476,1996,22277474
1477,1996,51980772
1478,1996,81684071
1479,1996,44554948
1480,1996,66832422
1481,1996,148516493
1482,1996,96535720
1483,1996,62376927
1484,1996,111387369
1485,1996,4604011
1486,1996,130694514
1487,1996,1485165
1488,1996,445549
1489,1995,99370665
1490,1995,76438973
1491,1995,152877946
1492,1995,3821949
1493,1995,110072121
1494,1995,79496532
1495,1995,84082870
1496,1995,20944279
1497,1995,76438973
1498,1995,30575589
1499,1995,137590151
1500,1995,6115118
1501,1995,30575589
1502,1995,99370665
1503,1995,9325555
1504,1995,30575589
1505,1995,76438973
