,dbn,name,num_test_takers,boro,total_students,graduation_rate,attendance_rate,college_career_rate,reading_avg,math_avg,writing_score
285,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80.0,Q,665,0.93,0.92,0.82,443.0,447.0,440.0
286,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155.0,Q,1546,0.84,0.9,0.62,417.0,447.0,406.0
287,24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396.0,Q,2084,0.97,0.97,0.68,445.0,496.0,423.0
288,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58.0,Q,576,0.95,0.93,0.97,455.0,498.0,443.0
289,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45.0,Q,442,0.65,0.91,0.65,314.0,417.0,318.0
290,25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59.0,Q,649,0.93,0.91,0.87,416.0,463.0,392.0
291,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63.0,Q,567,0.97,0.93,0.85,471.0,489.0,481.0
292,25Q425,JOHN BOWNE HIGH SCHOOL,558.0,Q,3601,0.73,0.86,0.55,397.0,451.0,395.0
293,25Q460,FLUSHING HIGH SCHOOL,347.0,Q,1692,0.6,0.85,0.42,393.0,441.0,382.0
294,25Q525,TOWNSEND HARRIS HIGH SCHOOL,278.0,Q,1141,0.99,0.97,1.0,621.0,651.0,638.0
295,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99.0,Q,756,0.81,0.9,0.67,431.0,458.0,441.0
296,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888.0,Q,3699,0.91,0.92,0.77,480.0,545.0,489.0
297,26Q430,FRANCIS LEWIS HIGH SCHOOL,934.0,Q,4557,0.89,0.92,0.75,468.0,539.0,467.0
298,26Q435,MARTIN VAN BUREN HIGH SCHOOL,334.0,Q,1174,0.67,0.87,0.43,391.0,397.0,384.0
